X;CH1;CH2;Start;Increment;;X;CH1;CH2;Start;Increment;;X;CH1;CH2;Start;Increment;;
Sequence;Volt;Volt;-3,50E-03;5,00E-06;;Sequence;Volt;Volt;-3,50E-03;5,00E-06;;Sequence;Volt;Volt;-3,50E-03;5,00E-06;;
218;-1,48E+00;-1,44E+00;;;;218;1,56E+00;1,60E+00;;;;218;1,48E+00;1,40E+00;;;;
219;-1,44E+00;-1,36E+00;;;;219;1,52E+00;1,52E+00;;;;219;1,56E+00;1,44E+00;;;;
220;-1,48E+00;-1,36E+00;;;;220;1,52E+00;1,52E+00;;;;220;1,52E+00;1,40E+00;;;;
221;-1,44E+00;-1,44E+00;;;;221;1,60E+00;1,60E+00;;;;221;1,48E+00;1,48E+00;;;;
222;-1,48E+00;-1,44E+00;;;;222;1,52E+00;1,60E+00;;;;222;1,48E+00;1,40E+00;;;;
223;-1,44E+00;-1,36E+00;;;;223;1,60E+00;1,52E+00;;;;223;1,56E+00;1,48E+00;;;;
224;-1,44E+00;-1,44E+00;;;;224;1,56E+00;1,60E+00;;;;224;1,56E+00;1,44E+00;;;;
225;-1,52E+00;-1,36E+00;;;;225;-6,00E-01;1,44E+00;;;;225;1,48E+00;1,48E+00;;;;
226;-1,44E+00;-1,44E+00;;;;226;-4,80E-01;1,44E+00;;;;226;1,48E+00;1,44E+00;;;;
227;-1,52E+00;-1,36E+00;;;;227;-6,00E-01;1,24E+00;;;;227;1,56E+00;1,48E+00;;;;
228;-1,48E+00;-1,44E+00;;;;228;-5,60E-01;1,24E+00;;;;228;1,48E+00;1,44E+00;;;;
229;-1,44E+00;-1,40E+00;;;;229;-6,40E-01;1,04E+00;;;;229;1,56E+00;1,52E+00;;;;
230;-1,44E+00;-1,40E+00;;;;230;-6,40E-01;1,08E+00;;;;230;1,56E+00;1,52E+00;;;;
231;-1,52E+00;-1,48E+00;;;;231;-7,20E-01;8,80E-01;;;;231;1,48E+00;1,44E+00;;;;
232;-1,44E+00;-1,40E+00;;;;232;-6,80E-01;9,20E-01;;;;232;1,56E+00;1,44E+00;;;;
233;-1,52E+00;-1,48E+00;;;;233;-7,60E-01;7,20E-01;;;;233;1,48E+00;1,52E+00;;;;
234;-1,48E+00;-1,40E+00;;;;234;-7,20E-01;7,60E-01;;;;234;1,56E+00;1,52E+00;;;;
235;-1,44E+00;-1,48E+00;;;;235;-8,00E-01;6,00E-01;;;;235;1,48E+00;1,48E+00;;;;
236;-1,52E+00;-1,40E+00;;;;236;-7,60E-01;6,40E-01;;;;236;1,56E+00;1,48E+00;;;;
237;-1,44E+00;-1,44E+00;;;;237;-8,40E-01;4,80E-01;;;;237;1,48E+00;1,52E+00;;;;
238;-1,44E+00;-1,40E+00;;;;238;-8,00E-01;4,80E-01;;;;238;1,56E+00;1,48E+00;;;;
239;-1,52E+00;-1,48E+00;;;;239;-9,20E-01;3,20E-01;;;;239;1,48E+00;1,52E+00;;;;
240;-1,44E+00;-1,40E+00;;;;240;-8,80E-01;3,60E-01;;;;240;1,52E+00;1,52E+00;;;;
241;-1,52E+00;-1,48E+00;;;;241;-9,60E-01;2,00E-01;;;;241;1,56E+00;1,48E+00;;;;
242;-1,44E+00;-1,40E+00;;;;242;-8,80E-01;2,80E-01;;;;242;1,52E+00;1,56E+00;;;;
243;-1,52E+00;-1,48E+00;;;;243;-1,00E+00;1,20E-01;;;;243;1,56E+00;1,48E+00;;;;
244;-1,44E+00;-1,40E+00;;;;244;-9,20E-01;1,60E-01;;;;244;1,56E+00;1,48E+00;;;;
245;-1,52E+00;-1,48E+00;;;;245;-1,04E+00;0,00E+00;;;;245;1,48E+00;1,56E+00;;;;
246;-1,52E+00;-1,40E+00;;;;246;-9,60E-01;4,00E-02;;;;246;1,52E+00;1,56E+00;;;;
247;-1,44E+00;-1,48E+00;;;;247;-1,04E+00;-8,00E-02;;;;247;1,56E+00;1,48E+00;;;;
248;-1,44E+00;-1,48E+00;;;;248;-1,00E+00;-4,00E-02;;;;248;1,56E+00;1,48E+00;;;;
249;-1,52E+00;-1,40E+00;;;;249;-1,08E+00;-1,60E-01;;;;249;1,52E+00;1,56E+00;;;;
250;-1,52E+00;-1,40E+00;;;;250;-1,04E+00;-1,60E-01;;;;250;1,52E+00;1,56E+00;;;;
251;-1,44E+00;-1,44E+00;;;;251;-1,08E+00;-2,80E-01;;;;251;1,56E+00;1,48E+00;;;;
252;-1,44E+00;-1,40E+00;;;;252;-1,04E+00;-2,00E-01;;;;252;1,52E+00;1,56E+00;;;;
253;-1,52E+00;-1,48E+00;;;;253;-1,12E+00;-3,60E-01;;;;253;1,56E+00;1,48E+00;;;;
254;-1,44E+00;-1,48E+00;;;;254;-1,08E+00;-3,20E-01;;;;254;1,52E+00;1,56E+00;;;;
255;-1,52E+00;-1,40E+00;;;;255;-1,16E+00;-4,00E-01;;;;255;1,56E+00;1,48E+00;;;;
256;-1,52E+00;-1,40E+00;;;;256;-1,16E+00;-4,00E-01;;;;256;1,56E+00;1,52E+00;;;;
257;-1,44E+00;-1,48E+00;;;;257;-1,12E+00;-4,80E-01;;;;257;1,52E+00;1,56E+00;;;;
258;-1,44E+00;-1,48E+00;;;;258;-1,12E+00;-4,40E-01;;;;258;1,52E+00;1,56E+00;;;;
259;-1,52E+00;-1,40E+00;;;;259;-1,20E+00;-5,60E-01;;;;259;1,60E+00;1,52E+00;;;;
260;-1,52E+00;-1,48E+00;;;;260;-1,16E+00;-5,20E-01;;;;260;1,52E+00;1,56E+00;;;;
261;-1,44E+00;-1,40E+00;;;;261;-1,24E+00;-6,00E-01;;;;261;1,60E+00;1,52E+00;;;;
262;-1,52E+00;-1,48E+00;;;;262;-1,16E+00;-5,60E-01;;;;262;1,56E+00;1,56E+00;;;;
263;-1,44E+00;-1,44E+00;;;;263;-1,24E+00;-6,80E-01;;;;263;1,52E+00;1,52E+00;;;;
264;-1,44E+00;-1,44E+00;;;;264;-1,24E+00;-6,40E-01;;;;264;1,56E+00;1,56E+00;;;;
265;-1,52E+00;-1,48E+00;;;;265;-1,16E+00;-7,20E-01;;;;265;1,52E+00;1,52E+00;;;;
266;-1,52E+00;-1,48E+00;;;;266;-1,20E+00;-6,80E-01;;;;266;1,56E+00;1,52E+00;;;;
267;-1,44E+00;-1,40E+00;;;;267;-1,28E+00;-7,60E-01;;;;267;1,52E+00;1,56E+00;;;;
268;-1,52E+00;-1,48E+00;;;;268;-1,28E+00;-7,20E-01;;;;268;1,60E+00;1,52E+00;;;;
269;-1,44E+00;-1,40E+00;;;;269;-1,20E+00;-8,40E-01;;;;269;1,48E+00;1,56E+00;;;;
270;-1,52E+00;-1,44E+00;;;;270;-1,28E+00;-7,60E-01;;;;270;1,56E+00;1,56E+00;;;;
271;-1,44E+00;-1,48E+00;;;;271;-1,24E+00;-8,80E-01;;;;271;1,52E+00;1,52E+00;;;;
272;-1,52E+00;-1,44E+00;;;;272;-1,24E+00;-8,40E-01;;;;272;1,56E+00;1,56E+00;;;;
273;-1,44E+00;-1,48E+00;;;;273;-1,32E+00;-8,80E-01;;;;273;-5,20E-01;1,36E+00;;;;
274;-1,52E+00;-1,48E+00;;;;274;-1,32E+00;-8,40E-01;;;;274;-5,20E-01;1,40E+00;;;;
275;-1,44E+00;-1,40E+00;;;;275;-1,28E+00;-9,20E-01;;;;275;-6,00E-01;1,20E+00;;;;
276;-1,52E+00;-1,44E+00;;;;276;-1,28E+00;-8,80E-01;;;;276;-5,60E-01;1,20E+00;;;;
277;-1,44E+00;-1,48E+00;;;;277;-1,32E+00;-1,00E+00;;;;277;-6,80E-01;1,00E+00;;;;
278;-1,44E+00;-1,48E+00;;;;278;-1,28E+00;-9,20E-01;;;;278;-6,40E-01;1,04E+00;;;;
279;-1,52E+00;-1,44E+00;;;;279;-1,36E+00;-1,00E+00;;;;279;-7,20E-01;8,40E-01;;;;
280;-1,52E+00;-1,48E+00;;;;280;-1,28E+00;-9,60E-01;;;;280;-6,80E-01;8,80E-01;;;;
281;-1,44E+00;-1,40E+00;;;;281;-1,36E+00;-1,04E+00;;;;281;-7,60E-01;7,20E-01;;;;
282;-1,52E+00;-1,48E+00;;;;282;-1,32E+00;-1,00E+00;;;;282;-7,20E-01;7,20E-01;;;;
283;-1,44E+00;-1,40E+00;;;;283;-1,40E+00;-1,08E+00;;;;283;-8,00E-01;5,60E-01;;;;
284;-1,44E+00;-1,48E+00;;;;284;-1,32E+00;-1,04E+00;;;;284;-7,60E-01;6,00E-01;;;;
285;-1,52E+00;-1,44E+00;;;;285;-1,40E+00;-1,08E+00;;;;285;-8,80E-01;4,40E-01;;;;
286;-1,44E+00;-1,48E+00;;;;286;-1,32E+00;-1,04E+00;;;;286;-8,00E-01;4,40E-01;;;;
287;-1,52E+00;-1,40E+00;;;;287;-1,40E+00;-1,12E+00;;;;287;-9,20E-01;3,20E-01;;;;
288;-1,52E+00;-1,48E+00;;;;288;-1,40E+00;-1,08E+00;;;;288;-8,80E-01;3,20E-01;;;;
289;-1,44E+00;-1,44E+00;;;;289;-1,32E+00;-1,16E+00;;;;289;-9,60E-01;2,00E-01;;;;
290;-1,52E+00;-1,48E+00;;;;290;-1,40E+00;-1,16E+00;;;;290;-9,20E-01;2,00E-01;;;;
291;-1,44E+00;-1,44E+00;;;;291;-1,32E+00;-1,08E+00;;;;291;-1,00E+00;8,00E-02;;;;
292;-1,52E+00;-1,48E+00;;;;292;-1,36E+00;-1,12E+00;;;;292;-1,00E+00;1,20E-01;;;;
293;-1,44E+00;-1,44E+00;;;;293;-1,44E+00;-1,20E+00;;;;293;-9,60E-01;-4,00E-02;;;;
294;-1,52E+00;-1,48E+00;;;;294;-1,36E+00;-1,20E+00;;;;294;-1,00E+00;0,00E+00;;;;
295;-1,44E+00;-1,44E+00;;;;295;-1,44E+00;-1,12E+00;;;;295;-1,04E+00;-1,20E-01;;;;
296;-1,52E+00;-1,44E+00;;;;296;-1,44E+00;-1,16E+00;;;;296;-1,00E+00;-8,00E-02;;;;
297;-1,44E+00;-1,48E+00;;;;297;-1,36E+00;-1,24E+00;;;;297;-1,08E+00;-2,00E-01;;;;
298;-1,52E+00;-1,48E+00;;;;298;-1,36E+00;-1,24E+00;;;;298;-1,04E+00;-1,60E-01;;;;
299;-1,44E+00;-1,40E+00;;;;299;-1,44E+00;-1,16E+00;;;;299;-1,12E+00;-3,20E-01;;;;
300;-1,52E+00;-1,48E+00;;;;300;-1,44E+00;-1,20E+00;;;;300;-1,08E+00;-2,40E-01;;;;
301;1,24E+00;-1,32E+00;;;;301;-1,36E+00;-1,24E+00;;;;301;-1,12E+00;-3,60E-01;;;;
302;5,60E-01;-1,36E+00;;;;302;-1,40E+00;-1,20E+00;;;;302;-1,08E+00;-3,20E-01;;;;
303;6,40E-01;-1,12E+00;;;;303;-1,44E+00;-1,28E+00;;;;303;-1,16E+00;-4,40E-01;;;;
304;6,40E-01;-1,16E+00;;;;304;-1,40E+00;-1,24E+00;;;;304;-1,12E+00;-4,00E-01;;;;
305;7,20E-01;-1,00E+00;;;;305;-1,44E+00;-1,28E+00;;;;305;-1,16E+00;-5,20E-01;;;;
306;6,80E-01;-1,00E+00;;;;306;-1,40E+00;-1,28E+00;;;;306;-1,16E+00;-4,80E-01;;;;
307;7,60E-01;-8,00E-01;;;;307;-1,48E+00;-1,24E+00;;;;307;-1,20E+00;-5,60E-01;;;;
308;7,20E-01;-8,40E-01;;;;308;-1,44E+00;-1,24E+00;;;;308;-1,20E+00;-5,20E-01;;;;
309;8,00E-01;-6,40E-01;;;;309;-1,40E+00;-1,32E+00;;;;309;-1,16E+00;-6,40E-01;;;;
310;7,60E-01;-6,80E-01;;;;310;-1,44E+00;-1,28E+00;;;;310;-1,24E+00;-6,00E-01;;;;
311;8,80E-01;-4,80E-01;;;;311;-1,40E+00;-1,32E+00;;;;311;-1,16E+00;-6,80E-01;;;;
312;8,40E-01;-5,20E-01;;;;312;-1,40E+00;-1,28E+00;;;;312;-1,24E+00;-6,40E-01;;;;
313;9,20E-01;-3,60E-01;;;;313;-1,48E+00;-1,36E+00;;;;313;-1,20E+00;-7,20E-01;;;;
314;8,80E-01;-4,00E-01;;;;314;-1,40E+00;-1,28E+00;;;;314;-1,20E+00;-7,20E-01;;;;
315;9,60E-01;-2,40E-01;;;;315;-1,48E+00;-1,36E+00;;;;315;-1,28E+00;-8,00E-01;;;;
316;9,20E-01;-2,40E-01;;;;316;-1,48E+00;-1,28E+00;;;;316;-1,24E+00;-7,20E-01;;;;
317;1,00E+00;-1,20E-01;;;;317;-1,40E+00;-1,36E+00;;;;317;-1,32E+00;-8,40E-01;;;;
318;9,60E-01;-1,60E-01;;;;318;-1,48E+00;-1,36E+00;;;;318;-1,24E+00;-8,00E-01;;;;
319;1,04E+00;0,00E+00;;;;319;-1,40E+00;-1,28E+00;;;;319;-1,32E+00;-8,80E-01;;;;
320;1,00E+00;-4,00E-02;;;;320;-1,40E+00;-1,32E+00;;;;320;-1,24E+00;-8,40E-01;;;;
321;1,08E+00;1,20E-01;;;;321;-1,48E+00;-1,36E+00;;;;321;-1,32E+00;-9,20E-01;;;;
322;1,04E+00;8,00E-02;;;;322;-1,48E+00;-1,36E+00;;;;322;-1,28E+00;-8,80E-01;;;;
323;1,12E+00;2,00E-01;;;;323;-1,40E+00;-1,32E+00;;;;323;-1,32E+00;-9,60E-01;;;;
324;1,04E+00;1,60E-01;;;;324;-1,44E+00;-1,32E+00;;;;324;-1,28E+00;-9,20E-01;;;;
325;1,12E+00;2,80E-01;;;;325;-1,48E+00;-1,40E+00;;;;325;-1,36E+00;-1,00E+00;;;;
326;1,08E+00;2,40E-01;;;;326;-1,48E+00;-1,32E+00;;;;326;-1,36E+00;-1,00E+00;;;;
327;1,20E+00;3,60E-01;;;;327;-1,44E+00;-1,40E+00;;;;327;-1,28E+00;-9,20E-01;;;;
328;1,12E+00;3,20E-01;;;;328;-1,44E+00;-1,36E+00;;;;328;-1,32E+00;-1,00E+00;;;;
329;1,20E+00;4,80E-01;;;;329;-1,48E+00;-1,40E+00;;;;329;-1,36E+00;-1,04E+00;;;;
330;1,20E+00;4,00E-01;;;;330;-1,48E+00;-1,36E+00;;;;330;-1,36E+00;-1,00E+00;;;;
331;1,16E+00;5,20E-01;;;;331;-1,40E+00;-1,40E+00;;;;331;-1,32E+00;-1,08E+00;;;;
332;1,16E+00;4,80E-01;;;;332;-1,44E+00;-1,36E+00;;;;332;-1,32E+00;-1,04E+00;;;;
333;1,24E+00;6,00E-01;;;;333;-1,48E+00;-1,40E+00;;;;333;-1,40E+00;-1,08E+00;;;;
334;1,20E+00;5,60E-01;;;;334;-1,44E+00;-1,36E+00;;;;334;-1,32E+00;-1,12E+00;;;;
335;1,28E+00;6,80E-01;;;;335;-1,48E+00;-1,40E+00;;;;335;-1,40E+00;-1,04E+00;;;;
336;1,20E+00;6,40E-01;;;;336;-1,48E+00;-1,36E+00;;;;336;-1,36E+00;-1,08E+00;;;;
337;1,28E+00;7,20E-01;;;;337;-1,44E+00;-1,44E+00;;;;337;-1,40E+00;-1,16E+00;;;;
338;1,24E+00;6,80E-01;;;;338;-1,48E+00;-1,36E+00;;;;338;-1,40E+00;-1,08E+00;;;;
339;1,32E+00;7,60E-01;;;;339;-1,44E+00;-1,44E+00;;;;339;-1,36E+00;-1,16E+00;;;;
340;1,24E+00;7,20E-01;;;;340;-1,44E+00;-1,36E+00;;;;340;-1,40E+00;-1,12E+00;;;;
341;1,32E+00;8,40E-01;;;;341;-1,48E+00;-1,44E+00;;;;341;-1,36E+00;-1,20E+00;;;;
342;1,28E+00;8,00E-01;;;;342;-1,44E+00;-1,36E+00;;;;342;-1,36E+00;-1,16E+00;;;;
343;1,36E+00;8,80E-01;;;;343;-1,52E+00;-1,44E+00;;;;343;-1,44E+00;-1,20E+00;;;;
344;1,28E+00;8,40E-01;;;;344;-1,48E+00;-1,44E+00;;;;344;-1,36E+00;-1,16E+00;;;;
345;1,36E+00;9,20E-01;;;;345;-1,44E+00;-1,36E+00;;;;345;-1,44E+00;-1,20E+00;;;;
346;1,36E+00;8,80E-01;;;;346;-1,44E+00;-1,44E+00;;;;346;-1,44E+00;-1,24E+00;;;;
347;1,28E+00;9,60E-01;;;;347;-1,48E+00;-1,36E+00;;;;347;-1,36E+00;-1,16E+00;;;;
348;1,36E+00;9,20E-01;;;;348;-1,48E+00;-1,44E+00;;;;348;-1,44E+00;-1,20E+00;;;;
349;1,32E+00;1,00E+00;;;;349;-1,44E+00;-1,36E+00;;;;349;-1,36E+00;-1,28E+00;;;;
350;1,32E+00;9,60E-01;;;;350;-1,44E+00;-1,44E+00;;;;350;-1,48E+00;-1,20E+00;;;;
351;1,40E+00;1,04E+00;;;;351;-1,52E+00;-1,36E+00;;;;351;-1,36E+00;-1,28E+00;;;;
352;1,40E+00;1,00E+00;;;;352;-1,52E+00;-1,40E+00;;;;352;-1,40E+00;-1,20E+00;;;;
353;1,36E+00;1,08E+00;;;;353;-1,44E+00;-1,44E+00;;;;353;-1,48E+00;-1,28E+00;;;;
354;1,36E+00;1,04E+00;;;;354;-1,48E+00;-1,44E+00;;;;354;-1,40E+00;-1,24E+00;;;;
355;1,40E+00;1,12E+00;;;;355;-1,44E+00;-1,40E+00;;;;355;-1,44E+00;-1,32E+00;;;;
356;1,36E+00;1,08E+00;;;;356;-1,44E+00;-1,44E+00;;;;356;-1,40E+00;-1,24E+00;;;;
357;1,44E+00;1,16E+00;;;;357;-1,52E+00;-1,40E+00;;;;357;-1,48E+00;-1,32E+00;;;;
358;1,36E+00;1,12E+00;;;;358;-1,44E+00;-1,44E+00;;;;358;-1,40E+00;-1,32E+00;;;;
359;1,44E+00;1,20E+00;;;;359;-1,52E+00;-1,40E+00;;;;359;-1,48E+00;-1,24E+00;;;;
360;1,40E+00;1,20E+00;;;;360;-1,44E+00;-1,40E+00;;;;360;-1,40E+00;-1,32E+00;;;;
361;1,44E+00;1,12E+00;;;;361;-1,52E+00;-1,48E+00;;;;361;-1,48E+00;-1,24E+00;;;;
362;1,44E+00;1,16E+00;;;;362;-1,52E+00;-1,48E+00;;;;362;-1,40E+00;-1,28E+00;;;;
363;1,40E+00;1,24E+00;;;;363;-1,44E+00;-1,40E+00;;;;363;-1,48E+00;-1,36E+00;;;;
364;1,40E+00;1,20E+00;;;;364;-1,44E+00;-1,40E+00;;;;364;-1,40E+00;-1,36E+00;;;;
365;1,48E+00;1,28E+00;;;;365;-1,52E+00;-1,48E+00;;;;365;-1,48E+00;-1,28E+00;;;;
366;1,40E+00;1,20E+00;;;;366;-1,44E+00;-1,48E+00;;;;366;-1,44E+00;-1,32E+00;;;;
367;1,48E+00;1,28E+00;;;;367;-1,52E+00;-1,40E+00;;;;367;-1,48E+00;-1,36E+00;;;;
368;1,40E+00;1,24E+00;;;;368;-1,44E+00;-1,40E+00;;;;368;-1,48E+00;-1,36E+00;;;;
369;1,48E+00;1,32E+00;;;;369;-1,52E+00;-1,48E+00;;;;369;-1,44E+00;-1,28E+00;;;;
370;1,44E+00;1,24E+00;;;;370;-1,44E+00;-1,48E+00;;;;370;-1,48E+00;-1,32E+00;;;;
371;1,48E+00;1,32E+00;;;;371;-1,52E+00;-1,40E+00;;;;371;-1,40E+00;-1,36E+00;;;;
372;1,44E+00;1,32E+00;;;;372;-1,44E+00;-1,40E+00;;;;372;-1,44E+00;-1,32E+00;;;;
373;1,48E+00;1,28E+00;;;;373;-1,52E+00;-1,48E+00;;;;373;-1,48E+00;-1,40E+00;;;;
374;1,44E+00;1,36E+00;;;;374;-1,44E+00;-1,48E+00;;;;374;-1,44E+00;-1,32E+00;;;;
375;1,48E+00;1,28E+00;;;;375;-1,52E+00;-1,40E+00;;;;375;-1,48E+00;-1,40E+00;;;;
376;1,44E+00;1,36E+00;;;;376;-1,52E+00;-1,48E+00;;;;376;-1,44E+00;-1,32E+00;;;;
377;1,52E+00;1,28E+00;;;;377;-1,44E+00;-1,40E+00;;;;377;-1,48E+00;-1,40E+00;;;;
378;1,44E+00;1,32E+00;;;;378;-1,52E+00;-1,48E+00;;;;378;-1,48E+00;-1,36E+00;;;;
379;1,52E+00;1,40E+00;;;;379;-1,44E+00;-1,40E+00;;;;379;-1,40E+00;-1,40E+00;;;;
380;1,44E+00;1,36E+00;;;;380;-1,44E+00;-1,48E+00;;;;380;-1,44E+00;-1,40E+00;;;;
381;1,52E+00;1,40E+00;;;;381;-1,52E+00;-1,40E+00;;;;381;-1,52E+00;-1,36E+00;;;;
382;1,52E+00;1,36E+00;;;;382;-1,48E+00;-1,48E+00;;;;382;-1,48E+00;-1,40E+00;;;;
383;1,44E+00;1,40E+00;;;;383;6,00E-01;-1,08E+00;;;;383;-1,44E+00;-1,36E+00;;;;
384;1,48E+00;1,36E+00;;;;384;5,60E-01;-1,40E+00;;;;384;-1,44E+00;-1,36E+00;;;;
385;1,52E+00;1,44E+00;;;;385;6,40E-01;-1,20E+00;;;;385;-1,48E+00;-1,44E+00;;;;
386;1,52E+00;1,36E+00;;;;386;6,00E-01;-1,20E+00;;;;386;-1,44E+00;-1,40E+00;;;;
387;1,44E+00;1,44E+00;;;;387;7,20E-01;-1,00E+00;;;;387;-1,48E+00;-1,36E+00;;;;
388;1,52E+00;1,44E+00;;;;388;6,80E-01;-1,04E+00;;;;388;-1,44E+00;-1,36E+00;;;;
389;1,48E+00;1,40E+00;;;;389;7,60E-01;-8,40E-01;;;;389;-1,48E+00;-1,44E+00;;;;
390;1,48E+00;1,44E+00;;;;390;7,20E-01;-8,80E-01;;;;390;-1,44E+00;-1,44E+00;;;;
391;1,56E+00;1,40E+00;;;;391;8,00E-01;-6,80E-01;;;;391;-1,52E+00;-1,36E+00;;;;
392;1,48E+00;1,40E+00;;;;392;7,60E-01;-6,80E-01;;;;392;-1,48E+00;-1,44E+00;;;;
393;1,56E+00;1,48E+00;;;;393;8,40E-01;-5,20E-01;;;;393;-1,44E+00;-1,36E+00;;;;
394;1,48E+00;1,40E+00;;;;394;8,40E-01;-5,60E-01;;;;394;-1,44E+00;-1,44E+00;;;;
395;1,56E+00;1,48E+00;;;;395;9,20E-01;-4,00E-01;;;;395;-1,52E+00;-1,36E+00;;;;
396;1,48E+00;1,48E+00;;;;396;8,40E-01;-4,00E-01;;;;396;-1,44E+00;-1,44E+00;;;;
397;1,56E+00;1,40E+00;;;;397;9,60E-01;-2,40E-01;;;;397;-1,52E+00;-1,36E+00;;;;
398;1,48E+00;1,44E+00;;;;398;9,20E-01;-2,80E-01;;;;398;-1,48E+00;-1,44E+00;;;;
399;1,56E+00;1,52E+00;;;;399;1,00E+00;-1,20E-01;;;;399;-1,44E+00;-1,36E+00;;;;
400;1,48E+00;1,44E+00;;;;400;9,60E-01;-1,60E-01;;;;400;-1,44E+00;-1,44E+00;;;;
401;1,56E+00;1,52E+00;;;;401;1,04E+00;0,00E+00;;;;401;-1,52E+00;-1,36E+00;;;;
402;1,56E+00;1,44E+00;;;;402;9,60E-01;-4,00E-02;;;;402;-1,44E+00;-1,36E+00;;;;
403;1,48E+00;1,52E+00;;;;403;1,04E+00;8,00E-02;;;;403;-1,52E+00;-1,48E+00;;;;
404;1,56E+00;1,44E+00;;;;404;1,04E+00;4,00E-02;;;;404;-1,52E+00;-1,44E+00;;;;
405;1,48E+00;1,52E+00;;;;405;1,12E+00;1,60E-01;;;;405;-1,44E+00;-1,40E+00;;;;
406;1,56E+00;1,52E+00;;;;406;1,04E+00;1,60E-01;;;;406;-1,44E+00;-1,44E+00;;;;
407;1,48E+00;1,44E+00;;;;407;1,16E+00;2,80E-01;;;;407;-1,52E+00;-1,40E+00;;;;
408;1,56E+00;1,52E+00;;;;408;1,08E+00;2,40E-01;;;;408;-1,52E+00;-1,40E+00;;;;
409;1,48E+00;1,48E+00;;;;409;1,16E+00;3,60E-01;;;;409;-1,44E+00;-1,44E+00;;;;
410;1,56E+00;1,48E+00;;;;410;1,12E+00;3,20E-01;;;;410;-1,44E+00;-1,40E+00;;;;
411;1,48E+00;1,52E+00;;;;411;1,20E+00;4,40E-01;;;;411;-1,52E+00;-1,48E+00;;;;
412;1,52E+00;1,52E+00;;;;412;1,16E+00;4,00E-01;;;;412;-1,44E+00;-1,40E+00;;;;
413;1,56E+00;1,48E+00;;;;413;1,20E+00;5,20E-01;;;;413;-1,52E+00;-1,48E+00;;;;
414;1,56E+00;1,52E+00;;;;414;1,16E+00;4,80E-01;;;;414;-1,52E+00;-1,44E+00;;;;
415;1,48E+00;1,48E+00;;;;415;1,24E+00;6,00E-01;;;;415;9,60E-01;-1,32E+00;;;;
416;1,52E+00;1,48E+00;;;;416;1,20E+00;5,60E-01;;;;416;5,20E-01;-1,36E+00;;;;
417;1,56E+00;1,56E+00;;;;417;1,24E+00;6,40E-01;;;;417;6,40E-01;-1,16E+00;;;;
418;1,52E+00;1,48E+00;;;;418;1,28E+00;6,40E-01;;;;418;6,00E-01;-1,16E+00;;;;
419;1,56E+00;1,56E+00;;;;419;1,20E+00;7,20E-01;;;;419;7,20E-01;-9,60E-01;;;;
420;1,56E+00;1,56E+00;;;;420;1,24E+00;6,80E-01;;;;420;6,80E-01;-1,00E+00;;;;
421;1,48E+00;1,48E+00;;;;421;1,32E+00;7,60E-01;;;;421;7,60E-01;-8,00E-01;;;;
422;1,56E+00;1,56E+00;;;;422;1,28E+00;7,20E-01;;;;422;7,20E-01;-8,40E-01;;;;
423;1,52E+00;1,48E+00;;;;423;1,32E+00;8,00E-01;;;;423;8,00E-01;-6,40E-01;;;;
424;1,52E+00;1,56E+00;;;;424;1,28E+00;7,60E-01;;;;424;8,00E-01;-6,80E-01;;;;
425;1,56E+00;1,48E+00;;;;425;1,36E+00;8,80E-01;;;;425;8,80E-01;-4,80E-01;;;;
426;1,56E+00;1,52E+00;;;;426;1,28E+00;8,00E-01;;;;426;8,40E-01;-5,20E-01;;;;
427;1,52E+00;1,56E+00;;;;427;1,36E+00;9,20E-01;;;;427;9,20E-01;-3,60E-01;;;;
428;1,56E+00;1,52E+00;;;;428;1,36E+00;8,80E-01;;;;428;8,80E-01;-4,00E-01;;;;
429;1,48E+00;1,56E+00;;;;429;1,28E+00;9,60E-01;;;;429;9,60E-01;-2,40E-01;;;;
430;1,56E+00;1,52E+00;;;;430;1,32E+00;9,20E-01;;;;430;9,20E-01;-2,40E-01;;;;
431;1,52E+00;1,56E+00;;;;431;1,40E+00;1,00E+00;;;;431;1,00E+00;-1,20E-01;;;;
432;1,52E+00;1,56E+00;;;;432;1,32E+00;9,60E-01;;;;432;9,60E-01;-1,60E-01;;;;
433;1,56E+00;1,52E+00;;;;433;1,40E+00;1,04E+00;;;;433;1,04E+00;0,00E+00;;;;
434;1,56E+00;1,52E+00;;;;434;1,40E+00;1,00E+00;;;;434;1,00E+00;-4,00E-02;;;;
435;1,48E+00;1,56E+00;;;;435;1,32E+00;1,08E+00;;;;435;1,08E+00;1,20E-01;;;;
436;1,52E+00;1,56E+00;;;;436;1,36E+00;1,04E+00;;;;436;1,04E+00;8,00E-02;;;;
437;1,56E+00;1,52E+00;;;;437;1,44E+00;1,12E+00;;;;437;1,12E+00;2,00E-01;;;;
438;1,52E+00;1,52E+00;;;;438;1,36E+00;1,08E+00;;;;438;1,08E+00;1,60E-01;;;;
439;1,56E+00;1,56E+00;;;;439;1,44E+00;1,16E+00;;;;439;1,12E+00;2,80E-01;;;;
440;1,56E+00;1,52E+00;;;;440;1,44E+00;1,16E+00;;;;440;1,08E+00;2,80E-01;;;;
441;1,52E+00;1,56E+00;;;;441;1,36E+00;1,08E+00;;;;441;1,16E+00;3,60E-01;;;;
442;1,56E+00;1,52E+00;;;;442;1,40E+00;1,12E+00;;;;442;1,12E+00;3,60E-01;;;;
