X;CH1;CH2;Start;Increment;;X;CH1;CH2;Start;Increment;;X;CH1;CH2;Start;Increment;;
Sequence;Volt;Volt;-3,50E-03;5,00E-06;;Sequence;Volt;Volt;-3,50E-03;5,00E-06;;Sequence;Volt;Volt;-3,50E-03;5,00E-06;;
47;1,56E+00;1,60E+00;;;;47;-1,52E+00;-1,40E+00;;;;47;-1,40E+00;-1,04E+00;;;;
48;1,56E+00;1,56E+00;;;;48;-1,44E+00;-1,40E+00;;;;48;-1,32E+00;-1,12E+00;;;;
49;1,52E+00;1,52E+00;;;;49;-1,52E+00;-1,48E+00;;;;49;-1,40E+00;-1,04E+00;;;;
50;1,52E+00;1,60E+00;;;;50;-1,44E+00;-1,40E+00;;;;50;-1,32E+00;-1,08E+00;;;;
51;1,60E+00;1,52E+00;;;;51;-1,52E+00;-1,48E+00;;;;51;-1,40E+00;-1,16E+00;;;;
52;1,52E+00;1,52E+00;;;;52;-1,44E+00;-1,40E+00;;;;52;-1,36E+00;-1,16E+00;;;;
53;1,60E+00;1,60E+00;;;;53;-1,52E+00;-1,48E+00;;;;53;-1,40E+00;-1,12E+00;;;;
54;1,56E+00;1,52E+00;;;;54;-1,44E+00;-1,40E+00;;;;54;-1,40E+00;-1,12E+00;;;;
55;1,52E+00;1,60E+00;;;;55;-1,52E+00;-1,48E+00;;;;55;-1,36E+00;-1,20E+00;;;;
56;1,56E+00;1,52E+00;;;;56;-1,52E+00;-1,40E+00;;;;56;-1,36E+00;-1,16E+00;;;;
57;1,52E+00;1,60E+00;;;;57;-1,44E+00;-1,48E+00;;;;57;-1,44E+00;-1,20E+00;;;;
58;1,52E+00;1,52E+00;;;;58;-1,44E+00;-1,40E+00;;;;58;-1,36E+00;-1,16E+00;;;;
59;1,60E+00;1,60E+00;;;;59;-1,52E+00;-1,48E+00;;;;59;-1,44E+00;-1,24E+00;;;;
60;1,52E+00;1,60E+00;;;;60;-1,52E+00;-1,48E+00;;;;60;-1,44E+00;-1,20E+00;;;;
61;1,60E+00;1,52E+00;;;;61;-1,44E+00;-1,40E+00;;;;61;-1,36E+00;-1,24E+00;;;;
62;1,52E+00;1,52E+00;;;;62;-1,52E+00;-1,40E+00;;;;62;-1,44E+00;-1,20E+00;;;;
63;1,60E+00;1,60E+00;;;;63;-1,44E+00;-1,48E+00;;;;63;-1,36E+00;-1,28E+00;;;;
64;1,52E+00;1,60E+00;;;;64;-1,44E+00;-1,48E+00;;;;64;-1,44E+00;-1,20E+00;;;;
65;1,60E+00;1,52E+00;;;;65;-1,52E+00;-1,40E+00;;;;65;-1,40E+00;-1,28E+00;;;;
66;1,52E+00;1,60E+00;;;;66;-1,52E+00;-1,44E+00;;;;66;-1,40E+00;-1,28E+00;;;;
67;1,60E+00;1,52E+00;;;;67;6,40E-01;-1,12E+00;;;;67;-1,48E+00;-1,24E+00;;;;
68;1,52E+00;1,60E+00;;;;68;6,00E-01;-1,24E+00;;;;68;-1,44E+00;-1,24E+00;;;;
69;1,60E+00;1,52E+00;;;;69;6,80E-01;-1,04E+00;;;;69;-1,40E+00;-1,32E+00;;;;
70;1,52E+00;1,60E+00;;;;70;6,40E-01;-1,08E+00;;;;70;-1,44E+00;-1,32E+00;;;;
71;1,60E+00;1,52E+00;;;;71;7,60E-01;-8,80E-01;;;;71;-1,40E+00;-1,24E+00;;;;
72;1,52E+00;1,60E+00;;;;72;7,20E-01;-8,80E-01;;;;72;-1,40E+00;-1,32E+00;;;;
73;1,60E+00;1,52E+00;;;;73;8,00E-01;-7,20E-01;;;;73;-1,48E+00;-1,24E+00;;;;
74;1,52E+00;1,60E+00;;;;74;7,60E-01;-7,20E-01;;;;74;-1,40E+00;-1,32E+00;;;;
75;1,60E+00;1,52E+00;;;;75;8,80E-01;-5,60E-01;;;;75;-1,48E+00;-1,28E+00;;;;
76;1,60E+00;1,60E+00;;;;76;8,00E-01;-6,00E-01;;;;76;-1,40E+00;-1,32E+00;;;;
77;1,48E+00;1,52E+00;;;;77;9,20E-01;-4,00E-01;;;;77;-1,48E+00;-1,28E+00;;;;
78;1,60E+00;1,56E+00;;;;78;9,20E-01;-4,80E-01;;;;78;-1,40E+00;-1,36E+00;;;;
79;1,52E+00;1,60E+00;;;;79;8,40E-01;-2,80E-01;;;;79;-1,48E+00;-1,28E+00;;;;
80;1,56E+00;1,56E+00;;;;80;8,80E-01;-3,20E-01;;;;80;-1,40E+00;-1,32E+00;;;;
81;1,52E+00;1,60E+00;;;;81;1,00E+00;-1,60E-01;;;;81;-1,48E+00;-1,36E+00;;;;
82;1,52E+00;1,56E+00;;;;82;9,60E-01;-2,00E-01;;;;82;-1,48E+00;-1,32E+00;;;;
83;1,60E+00;1,60E+00;;;;83;1,04E+00;-8,00E-02;;;;83;-1,40E+00;-1,36E+00;;;;
84;1,52E+00;1,60E+00;;;;84;9,60E-01;-8,00E-02;;;;84;-1,48E+00;-1,32E+00;;;;
85;1,60E+00;1,52E+00;;;;85;1,08E+00;4,00E-02;;;;85;-1,44E+00;-1,36E+00;;;;
86;1,52E+00;1,56E+00;;;;86;1,00E+00;0,00E+00;;;;86;-1,48E+00;-1,32E+00;;;;
87;1,60E+00;1,60E+00;;;;87;1,12E+00;1,60E-01;;;;87;-1,40E+00;-1,40E+00;;;;
88;1,52E+00;1,60E+00;;;;88;1,04E+00;1,20E-01;;;;88;-1,44E+00;-1,32E+00;;;;
89;1,60E+00;1,52E+00;;;;89;1,12E+00;2,40E-01;;;;89;-1,48E+00;-1,40E+00;;;;
90;1,52E+00;1,60E+00;;;;90;1,08E+00;2,00E-01;;;;90;-1,44E+00;-1,32E+00;;;;
91;1,60E+00;1,56E+00;;;;91;1,16E+00;3,20E-01;;;;91;-1,48E+00;-1,40E+00;;;;
92;1,52E+00;1,60E+00;;;;92;1,12E+00;2,80E-01;;;;92;-1,48E+00;-1,40E+00;;;;
93;1,60E+00;1,52E+00;;;;93;1,20E+00;4,00E-01;;;;93;-1,44E+00;-1,32E+00;;;;
94;1,52E+00;1,60E+00;;;;94;1,12E+00;4,00E-01;;;;94;-1,48E+00;-1,36E+00;;;;
95;1,60E+00;1,52E+00;;;;95;1,20E+00;5,20E-01;;;;95;-1,44E+00;-1,40E+00;;;;
96;1,52E+00;1,60E+00;;;;96;1,16E+00;4,40E-01;;;;96;-1,48E+00;-1,40E+00;;;;
97;1,60E+00;1,52E+00;;;;97;1,24E+00;5,60E-01;;;;97;-1,44E+00;-1,36E+00;;;;
98;1,52E+00;1,52E+00;;;;98;1,20E+00;5,60E-01;;;;98;-1,48E+00;-1,36E+00;;;;
99;1,60E+00;1,60E+00;;;;99;1,24E+00;6,40E-01;;;;99;-1,44E+00;-1,40E+00;;;;
100;1,60E+00;1,60E+00;;;;100;1,20E+00;6,00E-01;;;;100;-1,48E+00;-1,36E+00;;;;
101;-7,60E-01;1,44E+00;;;;101;1,28E+00;6,80E-01;;;;101;-1,44E+00;-1,44E+00;;;;
102;-4,80E-01;1,48E+00;;;;102;1,24E+00;6,80E-01;;;;102;-1,44E+00;-1,44E+00;;;;
103;-6,00E-01;1,24E+00;;;;103;1,32E+00;7,60E-01;;;;103;-1,52E+00;-1,36E+00;;;;
104;-5,60E-01;1,28E+00;;;;104;1,24E+00;7,20E-01;;;;104;-1,44E+00;-1,44E+00;;;;
105;-6,40E-01;1,08E+00;;;;105;1,32E+00;8,00E-01;;;;105;-1,48E+00;-1,36E+00;;;;
106;-6,00E-01;1,08E+00;;;;106;1,28E+00;7,60E-01;;;;106;-1,48E+00;-1,44E+00;;;;
107;-6,80E-01;9,20E-01;;;;107;1,36E+00;8,40E-01;;;;107;-1,44E+00;-1,36E+00;;;;
108;-6,40E-01;9,20E-01;;;;108;1,28E+00;8,40E-01;;;;108;-1,44E+00;-1,44E+00;;;;
109;-7,60E-01;7,60E-01;;;;109;1,36E+00;8,80E-01;;;;109;-1,52E+00;-1,36E+00;;;;
110;-7,20E-01;7,60E-01;;;;110;1,36E+00;8,80E-01;;;;110;-1,48E+00;-1,44E+00;;;;
111;-8,00E-01;6,00E-01;;;;111;1,28E+00;9,60E-01;;;;111;-1,44E+00;-1,36E+00;;;;
